Iteration 0: Best Performance: 1.019604736553845, Best Sequence: [False, False, False, np.True_, False, False, True, False, False, np.True_, np.False_, np.True_, np.True_, False, False, True, np.True_, True, np.True_, np.False_, np.False_, np.True_, np.False_, True, np.False_, np.False_, True, True, False, np.True_, np.True_, np.True_, np.False_, np.False_, np.False_, np.True_, True, True, np.False_, False, True, np.True_, np.True_, True, np.False_, np.False_, True, False, True, np.False_, np.False_, np.False_, False, False, True, False, False, True, True, np.True_, np.True_, True, False, True, False, np.False_, False, np.False_, np.True_, np.True_, np.False_, np.False_, True, False, np.False_, True, True, np.True_, np.True_, False, np.True_, False, False, False, False, True, np.True_, True, np.False_, False, True]
Iteration 3: Best Performance: 1.0369056265682257, Best Sequence: [False, True, True, np.False_, False, True, False, True, False, np.False_, np.True_, np.True_, np.True_, True, False, True, np.True_, False, np.False_, np.True_, np.True_, np.False_, np.False_, True, np.True_, np.True_, True, True, True, np.True_, np.True_, np.True_, np.False_, np.True_, np.False_, np.True_, False, True, np.True_, False, True, np.True_, np.False_, True, np.False_, np.True_, False, False, False, np.False_, np.False_, np.False_, True, False, True, False, False, True, False, np.True_, np.False_, True, True, False, True, np.False_, True, np.False_, np.True_, np.True_, np.False_, np.True_, False, False, np.False_, False, False, np.False_, np.True_, True, np.True_, False, False, False, True, True, np.False_, True, np.False_, True, False]
Iteration 6: Best Performance: 1.1018445456610952, Best Sequence: [False, False, False, np.False_, False, False, False, False, True, np.False_, np.False_, np.True_, np.True_, False, True, True, np.True_, True, np.True_, np.True_, np.False_, np.False_, np.True_, False, np.False_, np.True_, False, False, False, np.False_, np.False_, np.True_, np.False_, np.False_, np.False_, np.True_, False, False, np.True_, False, True, np.True_, np.False_, True, np.False_, np.False_, True, True, True, np.False_, np.False_, np.True_, False, False, False, True, False, True, False, np.False_, np.False_, True, False, True, True, np.False_, False, np.False_, np.True_, np.True_, np.False_, np.True_, True, False, np.False_, False, True, np.True_, np.True_, False, np.False_, True, True, False, True, True, np.False_, True, np.True_, False, True]
Iteration 15: Best Performance: 1.1115569575880655, Best Sequence: [False, False, False, np.True_, False, True, True, True, False, np.False_, np.False_, np.False_, np.False_, False, False, False, np.False_, True, np.False_, np.False_, np.False_, np.True_, np.True_, True, np.True_, np.False_, True, False, True, np.False_, np.True_, np.True_, np.False_, np.True_, np.False_, np.False_, True, False, np.True_, False, False, np.True_, np.False_, False, np.False_, np.False_, False, False, False, np.False_, False, np.False_, False, True, True, True, False, False, False, np.False_, np.False_, False, False, False, False, np.True_, False, np.True_, np.True_, np.True_, True, np.True_, False, False, np.False_, False, False, np.False_, np.True_, False, np.False_, False, False, True, True, True, np.False_, True, True, False, False]
Iteration 47: Best Performance: 1.1344903968666096, Best Sequence: [True, True, True, False, False, True, False, False, False, False, np.False_, False, False, True, False, True, np.False_, True, False, np.False_, False, np.False_, np.False_, False, np.True_, np.False_, False, False, False, np.False_, np.False_, np.True_, False, False, False, np.False_, True, False, np.True_, True, False, np.True_, False, False, np.False_, np.False_, False, False, False, False, True, np.True_, True, False, False, True, True, False, True, np.False_, np.False_, True, False, False, False, np.True_, False, np.True_, False, np.False_, False, np.True_, False, False, np.False_, True, False, np.False_, True, False, np.False_, True, False, False, False, True, False, True, True, True, False]
Iteration 63: Best Performance: 1.1712739580794966, Best Sequence: [True, False, True, False, False, True, True, True, False, False, np.True_, False, False, True, False, False, np.True_, True, False, False, False, np.False_, False, False, np.True_, False, True, True, False, np.True_, False, np.True_, False, False, False, False, False, False, np.True_, True, False, np.True_, False, False, np.False_, np.True_, False, False, False, False, False, np.False_, True, False, True, True, False, False, False, False, False, False, False, True, False, np.True_, False, np.True_, False, False, False, np.False_, False, True, np.True_, False, False, False, True, False, np.False_, False, False, False, True, False, False, True, False, False, True]
Iteration 89: Best Performance: 1.243616460440958, Best Sequence: [False, False, True, True, False, True, False, False, False, False, np.False_, True, False, True, False, True, np.False_, True, False, False, True, np.True_, False, False, np.False_, False, True, False, True, np.False_, False, np.True_, False, False, False, False, False, False, True, False, False, np.True_, False, False, False, np.True_, True, False, False, True, True, False, True, False, False, True, False, True, False, True, False, False, False, True, False, True, False, np.True_, False, False, False, False, True, False, np.False_, False, False, False, True, False, np.False_, True, False, False, False, False, False, False, False, True, False]
Iteration 0: Best Performance: 0.9383422872356252, Best Sequence: [True, False, False, np.False_, True, False, False, False, False, np.False_, np.True_, np.True_, np.True_, False, False, False, np.False_, False, np.False_, np.False_, np.False_, np.False_, np.False_, False, np.False_, np.True_, False, True, True, np.True_, np.True_, np.False_, np.True_, np.True_, np.False_, np.False_, False, False, np.True_, True, True, np.True_, np.False_, True, np.False_, np.False_, False, False, True, np.False_, np.True_, np.True_, False, True, True, False, True, True, False, np.False_, np.False_, True, True, False, False, np.False_, True, np.False_, np.True_, np.True_, np.True_, np.False_, True, True, np.True_, False, True, np.True_, np.True_, True, np.True_, True, True, False, False, False, np.True_, False, np.False_, False, False]
Iteration 1: Best Performance: 1.0491115835702318, Best Sequence: [False, True, True, np.True_, True, True, True, True, True, np.True_, np.True_, np.False_, np.True_, False, True, False, np.False_, True, np.True_, np.False_, np.False_, np.False_, np.False_, True, np.False_, np.False_, False, False, False, np.True_, np.True_, np.True_, np.False_, np.True_, np.True_, np.False_, True, False, np.True_, True, True, np.True_, np.False_, False, np.False_, np.True_, True, True, True, np.False_, np.False_, np.True_, False, False, True, False, True, False, True, np.True_, np.False_, True, True, True, False, np.False_, True, np.True_, np.False_, np.False_, np.False_, np.False_, True, True, np.False_, False, True, np.True_, np.True_, False, np.False_, True, True, False, False, False, np.False_, False, np.True_, False, False]
Iteration 21: Best Performance: 1.0580306729554414, Best Sequence: [False, True, False, True, True, False, True, True, True, np.True_, np.False_, np.False_, False, False, True, True, np.False_, True, np.False_, True, np.False_, np.False_, np.False_, True, np.False_, np.True_, True, True, True, np.False_, np.False_, np.True_, False, np.True_, np.True_, np.False_, False, False, np.True_, False, False, True, np.False_, False, np.False_, np.True_, True, True, False, np.False_, False, np.True_, True, False, False, True, True, False, True, np.True_, np.False_, True, True, False, True, np.False_, True, np.False_, np.True_, np.False_, np.True_, np.False_, False, False, np.False_, True, False, True, True, True, np.False_, True, True, True, True, True, np.False_, True, np.False_, True, True]
